title,views,posted
"Can Southern Africa Become a Superpower? | BRICS Summit, Zimbabwe Election 2023, (Stephen Chan)",17000.0,1 year 
"Elon Musk vs Julius Malema | Is outrage over ""kill the Boer"" chant warranted?",31000.0,1 year 
Zimbabwe's 2023 Election: All You Need to Know | Mnangagwa vs Chamisa? (with Mighti Jamie),97000.0,1 year 
"""Ramaphosa won't survive"" | EFF 10th anniversary, ANC Youth League, Life story, Julius Malema",442000.0,1 year 
"Will ANC fall below 50%? | EFF 10th Anniversary, Mbalula vs Mantashe, Phala Phala, PhD advice tips",75000.0,1 year 
"""We must own the economy"": New book, AKA, Slikour on Life, Skwatta Kamp, SA hip-hop history",11000.0,1 year 
Whitewash? Unpacking Public Protector's Phala Phala Report on President Ramaphosa,56000.0,1 year 
A tribute to Eusebius McKaiser,4400.0,1 year 
"“Kiss the Boer” is free speech: Afriforum vs Julius Malema, Adv Malesela Teffo, SA Constitution",29000.0,1 year 
"Should South Africa arrest Putin? BRICS, Russia-Ukraine, Lady R, Geopolitics, SA foreign policy",18000.0,1 year 
"""SA in an economic disaster"": SARB repo rate hikes, Eskom debt, Basic Income Grant, GDP",34000.0,1 year 
"50K SUBSCRIBERS Q&A: Liverpool, Marriage, SABC Show, 2024 Elections, Academic Tips",6900.0,1 year 
"""Stage 6 is Breaking SA"": Andre de Ruyter, Makhadzi v Open Mic, Joburg Coalitions, Eskom corruption",24000.0,1 year 
"Mbeki guns for Ramaphosa: Phala Phala, Eskom, De Ruyter and the Constitution",148000.0,1 year 
"""Media attacks on me were unfair"": UCT departure, CODESA failures, student protests and fees",139000.0,1 year 
"""SA Constitution must be rewritten"": Race and the law, threats to Black advocates, ANC failures",308000.0,1 year 
"Was ""national shutdown"" justified? | Apartheid's legacy, privatisation debate, law & media in SA",32000.0,1 year 
"""Our Leaders Disappointed"" | The Hustlers Corner, MacG & Black Coffee on fame, MOFAYA, Zahara",39000.0,1 year 
"“Helen Zille Could be President” | Cabinet Reshuffle, Andre de Ruyter, Phala Phala, 2024 Election",140000.0,1 year 
"“The Rainbow Nation Was a Scam” | Racism in SA, Eskom Crisis, SA Constitution, Gender Justice",43000.0,1 year 
"""SA Needs a Reset"" | Operation Dudula, Eskom Crisis, Cyril Ramaphosa, EFF Parliament, 2024 Election",302000.0,1 year 
"""No one listens to Cyril anymore"" | DJ Sbu, MacG, Ramaphosa, SONA 2023, Rob Hersov, The Penuel Show",142000.0,1 year 
"""DA Will Fight Phala Phala"" I SONA 2023 | Steenhuisen vs Phalatse I Women in Politics",11000.0,1 year 
"""Eskom's a disaster"" l Cabinet Reshuffle? I David Mabuza vs Paul Mashatile | Nasrec | SONA 2023",39000.0,1 year 
"""SA is in crisis"" I Interview with Cyril Ramaphosa l Loadshedding | Mogoeng Mogoeng | 2024 Election",211000.0,1 year 
Ramaphosa vs Parliament l Phala Phala at Concourt l ANC 55th National Conference Nasrec,22000.0,2 years 
"""Cyril Ramaphosa should resign"" I Phala Phala Panel report I ANC NEC vs Parliament",38000.0,2 years 
“ANC must renew or die” I ANC Conference I Phala Phala | Janus Walusz I Spirituality,53000.0,2 years 
"""Mashatile can beat Ramaphosa"" I ANC Conference 2022 I Ramaphosa vs Mkhize | Thabo Mbeki",19000.0,2 years 
“I am a fighter” I Joburg Mayor Court Ruling | Joburg Coalitions | ANC v EFF — Dr Mpho Phalatse,14000.0,2 years 
"""iDiskiTV saved my life"" I How to Build a YouTube Channel | Cyril Ramaphosa | Nkululeko n Culture",28000.0,2 years 
“I Can be Gauteng Premier” I How the Joburg Coalition Fell | DA vs ActionSA — Bongani Baloyi,9600.0,2 years 
“Why I left the DA” l How to create a new politics | John Steenhuisen | Service Delivery,6600.0,2 years 
ANC Conference Latest: Mkhize vs Ramaphosa | Paul Mashatile | KZN Dynamics | Gwede Mantashe,8400.0,2 years 
Minister Kubayi: Running for ANC DP I Rob Hersov | Ramaphosa 2nd Term,3600.0,2 years 
Phala Phala Scandal: Latest Developments l Impeachment Inquiry,7900.0,2 years 
Marikana: ten years on,2500.0,2 years 
Defend Our Democracy: SA’s Political Crisis l Conference for Democratic Renewal,3500.0,2 years 
Road to SA 2024 election: Who will lead South Africa?,7500.0,2 years 
Phala Phala Scandal: Latest Developments,11000.0,2 years 
Sinawo Tambo (EFF Spokesperson): Phala Phala Scandal | Opposition Intimidation | SA Parliament,14000.0,2 years 
What’s the cost of “Loadshedding”?💡💔,3200.0,2 years 
Aubrey Matshiqi: Civil Society Capture? | Electoral Reform | New Futures for South Africa,10000.0,2 years 
Aubrey Matshiqi: Phala Phala and Ramaphosa I ANC elective conference | 2024 Elections,60000.0,2 years 
Lukhona Mnguni: Is the ANC Dead? | Crime in South Africa | Electoral Reform,19000.0,2 years 
Is the ANC dead?,9000.0,2 years 
On Stellenbosch University and the Apartheid Flag,7900.0,2 years 
